"Player","Team","Pos","08/16","09/07"
"Stephen Gostkowski","TEN","K",NA,283
"Brett Maher","NYJ","K",NA,284
"Jacksonville","JAX","DEF",NA,285
"Aldrick Rosas","NYG","K",NA,286
"Atlanta","ATL","DEF",NA,287
"Carolina","CAR","DEF",NA,288
"Kai Forbath","DAL","K",NA,289
"Daniel Carlson","LV","K",NA,290
"Las Vegas","LV","DEF",NA,291
"Adam Vinatieri","IND","K",NA,292
"Dustin Hopkins","WAS","K",NA,293
"Chase McLaughlin","IND","K",NA,294
"Devonta Freeman","ATL","RB",175,295
"Kaden Smith","NYG","TE",NA,296
"Derrius Guice","WAS","RB",NA,297
"Dede Westbrook","JAX","WR",NA,298
"Taylor Gabriel","CHI","WR",NA,299
"Jacob Hollister","SEA","TE",NA,300
"Adrian Peterson","WAS","RB",122,NA
"Denzel Mims","NYJ","WR",180,NA
"Justice Hill","BAL","RB",192,NA
"Leonard Fournette","JAX","RB",45,NA
"Royce Freeman","DEN","RB",168,NA
